"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 09 19:08:48 IST 2023","Wed Aug 09 19:09:05 IST 2023","17343","TestCases","test_Login","Test_Login","","","test_Login_page_002",""
"passed","Wed Aug 09 19:08:17 IST 2023","Wed Aug 09 19:08:17 IST 2023","394","TestCases","test_Login","Test_Login","","","test_Login_page_001",""
